etf,month,turnover
iShares Core Dax UCITS ETF (DE),october,1501
iShares Core EURO STOXX 50 UCITS ETF (DE),october,408
iShares STOXX Europe 600 UCITS ETF (DE),october,294
iShares Core MSCI World UCITS ETF,october,284
Xtrackers DAX UCITS ETF 1C,october,277
Deka DAX UCITS ETF,october,213
iShares Global Clean Energy UCITS ETF USD (Dist),october,195
iShares Core S&P500 UCITS ETF USA (Acc),october,191
iShares NASDAQ-100 UCITS ETF (DE),october,183
iShares ShortDAX x2 Daily Swap UCITS ETF 1C,october,155
iShares Core Dax UCITS ETF (DE),september,1143
iShares Core EURO STOXX 50 UCITS ETF (DE),september,299
iShares STOXX Europe 600 UCITS ETF (DE),september,275
iShares Core MSCI World UCITS ETF,september,367
Xtrackers DAX UCITS ETF 1C,september,282
Deka DAX UCITS ETF,september,216
iShares Global Clean Energy UCITS ETF USD (Dist),september,81
iShares Core &SP500 UCITS ETF USA (Acc),september,174
iShares NASDAQ-100 UCITS ETF (DE),september,205
iShares ShortDAX x2 Daily Swap UCITS ETF 1C,september,129
iShares Core Dax UCITS ETF (DE),august,1082
iShares Core EURO STOXX 50 UCITS ETF (DE),august,238
iShares STOXX Europe 600 UCITS ETF (DE),august,148
iShares Core MSCI World UCITS ETF,august,247
Xtrackers DAX UCITS ETF 1C,august,306
Deka DAX UCITS ETF,august,143
iShares Global Clean Energy UCITS ETF USD (Dist),august,56
iShares Core S&P500 UCITS ETF USA (Acc),august,99
iShares NASDAQ-100 UCITS ETF (DE),august,97
iShares ShortDAX x2 Daily Swap UCITS ETF 1C,august,87
iShares Core Dax UCITS ETF (DE),july,921
iShares Core EURO STOXX 50 UCITS ETF (DE),july,315
iShares STOXX Europe 600 UCITS ETF (DE),july,245
iShares Core MSCI World UCITS ETF,july,386
Xtrackers DAX UCITS ETF 1C,july,340
Deka DAX UCITS ETF,july,216
iShares Global Clean Energy UCITS ETF USD (Dist),july,37
iShares Core S&P500 UCITS ETF USA (Acc),july,158
iShares NASDAQ-100 UCITS ETF (DE),july,145
iShares ShortDAX x2 Daily Swap UCITS ETF 1C,july,132